VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
CIP31ASSOC,program.assoc.parks_recreation_fitness,"Associate degree in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
CIP31CERT4,program.certificate_lt_4_yr.parks_recreation_fitness,"Award of at least two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
CIP31BACHL,program.bachelors.parks_recreation_fitness,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
CIP38CERT1,program.certificate_lt_1_yr.philosophy_religious,Certificate of less than one academic year in Philosophy And Religious Studies.,IPEDS,academics
CIP38CERT2,program.certificate_lt_2_yr.philosophy_religious,Certificate of at least one but less than two academic years in Philosophy And Religious Studies.,IPEDS,academics
CIP38ASSOC,program.assoc.philosophy_religious,Associate degree in Philosophy And Religious Studies.,IPEDS,academics
CIP38CERT4,program.certificate_lt_4_yr.philosophy_religious,Award of at least two but less than four academic years in Philosophy And Religious Studies.,IPEDS,academics
CIP38BACHL,program.bachelors.philosophy_religious,Bachelor's degree in Philosophy And Religious Studies.,IPEDS,academics
CIP39CERT1,program.certificate_lt_1_yr.theology_religious_vocation,Certificate of less than one academic year in Theology And Religious Vocations.,IPEDS,academics
CIP39CERT2,program.certificate_lt_2_yr.theology_religious_vocation,Certificate of at least one but less than two academic years in Theology And Religious Vocations.,IPEDS,academics
CIP39ASSOC,program.assoc.theology_religious_vocation,Associate degree in Theology And Religious Vocations.,IPEDS,academics
CIP39CERT4,program.certificate_lt_4_yr.theology_religious_vocation,Award of at least two but less than four academic years in Theology And Religious Vocations.,IPEDS,academics
CIP39BACHL,program.bachelors.theology_religious_vocation,Bachelor's degree in Theology And Religious Vocations.,IPEDS,academics
CIP40CERT1,program.certificate_lt_1_yr.physical_science,Certificate of less than one academic year in Physical Sciences.,IPEDS,academics
CIP40CERT2,program.certificate_lt_2_yr.physical_science,Certificate of at least one but less than two academic years in Physical Sciences.,IPEDS,academics
CIP40ASSOC,program.assoc.physical_science,Associate degree in Physical Sciences.,IPEDS,academics
CIP40CERT4,program.certificate_lt_4_yr.physical_science,Award of at least two but less than four academic years in Physical Sciences.,IPEDS,academics
CIP40BACHL,program.bachelors.physical_science,Bachelor's degree in Physical Sciences.,IPEDS,academics
CIP41CERT1,program.certificate_lt_1_yr.science_technology,Certificate of less than one academic year in Science Technologies/Technicians.,IPEDS,academics
CIP41CERT2,program.certificate_lt_2_yr.science_technology,Certificate of at least one but less than two academic years in Science Technologies/Technicians.,IPEDS,academics
CIP41ASSOC,program.assoc.science_technology,Associate degree in Science Technologies/Technicians.,IPEDS,academics
CIP41CERT4,program.certificate_lt_4_yr.science_technology,Award of at least two but less than four academic years in Science Technologies/Technicians.,IPEDS,academics
CIP41BACHL,program.bachelors.science_technology,Bachelor's degree in Science Technologies/Technicians.,IPEDS,academics
CIP42CERT1,program.certificate_lt_1_yr.psychology,Certificate of less than one academic year in Psychology.,IPEDS,academics
CIP42CERT2,program.certificate_lt_2_yr.psychology,Certificate of at least one but less than two academic years in Psychology.,IPEDS,academics
CIP42ASSOC,program.assoc.psychology,Associate degree in Psychology.,IPEDS,academics
CIP42CERT4,program.certificate_lt_4_yr.psychology,Award of at least two but less than four academic years in Psychology.,IPEDS,academics
CIP42BACHL,program.bachelors.psychology,Bachelor's degree in Psychology.,IPEDS,academics
CIP43CERT1,program.certificate_lt_1_yr.security_law_enforcement,"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
CIP43CERT2,program.certificate_lt_2_yr.security_law_enforcement,"Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
CIP43ASSOC,program.assoc.security_law_enforcement,"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
